Reference, Value, Footprint, Datasheet
"RL4","HFD4","Custom:HFD4-5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
"RL1","HFD4","Custom:HFD4-5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
"J1","MP1-8","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"R3","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R5","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R6","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R7","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R8","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"D2","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"D4","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"D5","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"D7","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"D6","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"D8","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"U2","ULN2003","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
"R9","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R11","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U1","A4988","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2980/pictures"
"R18","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U6","PCF8574","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf"
"RL2","HFD4","Custom:HFD4-5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
"D1","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"D3","1N4733A","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"R2","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R1","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RL3","HFD4","Custom:HFD4-5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
"U4","PCF8574","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf"
"R13","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R15","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J2","PWRLED","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","SWLED","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C1","100pF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C4","100pF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C3","100pF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C5","100pF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"U5","MCP23017","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf"
"C2","100pF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"F5","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"F6","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"F7","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"F8","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"F3","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"F4","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"F1","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"F2","POLYF","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"Q3","LP0701N3-G","Package_TO_SOT_THT:TO-92_Inline","~"
"R16","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U3","MT3608","Custom:dcdc-booster-board",""
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R12","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R10","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R14","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"D9","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"Q2","BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R17","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U8","PD-Micro","Module:PD_Micro",""
"U11","Teensy3.2","Teensy:Teensy30_31_32_LC",""
"RL5","HFD4","Custom:HFD4-5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
